bowler,style
KV Morea,Pace
Fazalhaq Farooqi,Pace
Kushal Malla,Spin
Syed Aziz,Pace
KA Bull,Pace
D Ibrahim,Pace
Imran Haider,Spin
JW Chilia,Pace
L Haskett,Pace
MA Cohen,Pace
Gulsan Jha,Pace
NC Komasaru,Pace
SC Getkate,Pace
A Reddy,Pace
Shabbir Ahmed,Spin
J Grewcock,Spin
LG Smith,Pace
DJ Hussey,Pace
TP Milnes,Pace
KA Green,Pace
Abu Hider,Pace
CG Williams,Pace
DN Wyatt,Pace
WGAKK Kulasuriya,Spin
BD Glover,Pace
A Canning,Pace
EV Jack,Pace
PLS Gamage,Spin
TGR Clark,Pace
L Sipamla,Pace
NRM Thain,Pace
D Elgar,Spin
PE Turner,Pace
N Nipiko,Pace
WA Duraisingam,Pace
Yasin Patel,Pace
Vaishnave Mahesh,Spin
P Hatzoglou,Spin
NA McSweeney,Spin
Marufa Akter,Pace
MD Dai,Spin
GH Rhodes,Spin
Shuvagata Hom,Spin
NB Cornwell,Spin
JL Barsby,Spin
RA Reifer,Spin
Muhammad Jawadullah,Spin
BG Charlesworth,Spin
MW Forde,Spin
S Siegers,Spin
S Bau,Pace
Amjad Javed,Pace
S van Zyl,Spin
